"State","PWGTP"
"AK",366
"AL",3573
"AR",2602
"AZ",16185
"CA",142099
"CO",8736
"CT",6029
"DC",593
"DE",1504
"FL",27709
"GA",16697
"HI",1043
"IA",3605
"ID",2601
"IL",24673
"IN",5664
"KS",4340
"KY",1975
"LA",1141
"MA",8794
"MD",10168
"ME",7
"MI",5560
"MN",4882
"MO",1727
"MS",394
"MT",273
"NC",11610
"NE",1853
"NH",1675
"NJ",14165
"NM",3062
"NV",7116
"NY",33070
"OH",2167
"OK",3787
"OR",4332
"PA",5982
"RI",1843
"SC",5170
"TN",6613
"TX",72062
"UT",4769
"VA",9652
"VT",53
"WA",14725
"WI",5392
"WV",157
"WY",929
